fit_time,score_time,test_f1,train_f1,test_accuracy,train_accuracy,model,fold
0.07618021965026855,0.024133682250976562,0.5486725663716814,0.5871559633027523,0.8827586206896552,0.896551724137931,logres,0
0.0468904972076416,0.015627145767211914,0.528,0.6379310344827587,0.864367816091954,0.903448275862069,logres,1
0.0473783016204834,0.015613794326782227,0.5283018867924528,0.6153846153846154,0.8850574712643678,0.9022988505747126,logres,2
0.017480134963989258,0.015636205673217773,0.5394736842105263,0.4983164983164983,0.8390804597701149,0.828735632183908,sgd,0
0.05726814270019531,0.02198481559753418,0.33057851239669417,0.4695652173913043,0.8137931034482758,0.8597701149425288,sgd,1
0.05424690246582031,0.023006677627563477,0.45454545454545453,0.5568627450980392,0.8620689655172413,0.8701149425287357,sgd,2
0.07102346420288086,0.07044553756713867,0.3655913978494624,0.691588785046729,0.864367816091954,0.9241379310344827,svc,0
0.08710813522338867,0.07856202125549316,0.40909090909090906,0.6729857819905213,0.8804597701149425,0.9206896551724137,svc,1
0.08710813522338867,0.06289029121398926,0.2857142857142857,0.6792452830188679,0.8620689655172413,0.9218390804597701,svc,2
0.031290292739868164,0.20663118362426758,0.2978723404255319,0.5346534653465347,0.8482758620689655,0.8919540229885058,knn,0
0.03126645088195801,0.19098806381225586,0.3218390804597701,0.39153439153439157,0.864367816091954,0.867816091954023,knn,1
0.03126645088195801,0.1920022964477539,0.29213483146067415,0.4408602150537635,0.8551724137931035,0.8804597701149425,knn,2
0.05144095420837402,0.02354145050048828,0.4625850340136054,1.0,0.8183908045977012,1.0,dt,0
0.04744434356689453,0.021547317504882812,0.31250000000000006,1.0,0.7471264367816092,1.0,dt,1
0.05740046501159668,0.02000713348388672,0.34328358208955223,1.0,0.7977011494252874,1.0,dt,2
1.1019558906555176,0.06197762489318848,0.38333333333333336,1.0,0.8298850574712644,1.0,gp,0
1.0749661922454834,0.0572199821472168,0.31578947368421045,1.0,0.8206896551724138,1.0,gp,1
1.063302755355835,0.056292057037353516,0.30909090909090914,1.0,0.825287356321839,1.0,gp,2
0.5990140438079834,0.05801820755004883,0.23529411764705882,1.0,0.8505747126436781,1.0,rf,0
0.6140117645263672,0.05534648895263672,0.2619047619047619,1.0,0.8574712643678161,1.0,rf,1
0.61000657081604,0.05403399467468262,0.29545454545454547,1.0,0.8574712643678161,1.0,rf,2
0.2826042175292969,0.031223058700561523,0.4778761061946903,0.6027397260273972,0.864367816091954,0.9,ada,0
0.28354668617248535,0.028783559799194336,0.5042016806722688,0.6278026905829597,0.864367816091954,0.9045977011494253,ada,1
